epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,579.527,0.81915,0.47593,0.93503,0.98019,0.98891,0.9936,0.79756,0.71931,0.42664,0.92044,0.000643795,0.000643795,0.000643795
64,588.333,0.80467,0.47587,0.93478,0.96988,0.99181,0.99304,0.80945,0.69542,0.41287,0.91178,0.000627292,0.000627292,0.000627292
65,597.029,0.79822,0.47108,0.93262,0.98024,0.99165,0.99399,0.80005,0.70984,0.40813,0.90683,0.000610789,0.000610789,0.000610789
66,605.948,0.79239,0.47325,0.93319,0.99056,0.99435,0.99447,0.80281,0.70209,0.40979,0.9057,0.000594286,0.000594286,0.000594286
67,614.647,0.7967,0.46688,0.93521,0.98531,0.99205,0.99482,0.81409,0.69107,0.39382,0.90042,0.000577782,0.000577782,0.000577782
68,623.51,0.7905,0.46308,0.92805,0.99146,0.9898,0.99478,0.81747,0.6908,0.39041,0.90229,0.000561279,0.000561279,0.000561279
69,632.262,0.79082,0.46337,0.9353,0.97799,0.98878,0.9939,0.81598,0.69154,0.39367,0.90004,0.000544776,0.000544776,0.000544776
70,641.313,0.77699,0.45939,0.93449,0.98622,0.98921,0.99417,0.81264,0.68108,0.39432,0.89668,0.000528272,0.000528272,0.000528272
71,650.391,0.77547,0.45965,0.92961,0.9831,0.98773,0.99388,0.82022,0.68389,0.39737,0.89351,0.000511769,0.000511769,0.000511769
72,659.359,0.78046,0.45558,0.92868,0.99246,0.98569,0.99481,0.81423,0.67087,0.392,0.89658,0.000495266,0.000495266,0.000495266
73,668.288,0.77265,0.45232,0.9186,0.98864,0.99009,0.99472,0.82037,0.66024,0.387,0.88957,0.000478762,0.000478762,0.000478762
74,677.042,0.77213,0.45124,0.92592,0.99094,0.97544,0.99384,0.8235,0.65125,0.38091,0.88718,0.000462259,0.000462259,0.000462259
75,685.853,0.77322,0.45007,0.92236,0.98273,0.97857,0.99308,0.81758,0.67863,0.38983,0.89226,0.000445756,0.000445756,0.000445756
76,694.742,0.76397,0.44861,0.92208,0.97636,0.99443,0.99384,0.82563,0.65369,0.37607,0.8875,0.000429253,0.000429253,0.000429253
77,703.65,0.76012,0.44766,0.9127,0.99015,0.98595,0.99408,0.83057,0.64657,0.3818,0.88584,0.000412749,0.000412749,0.000412749
78,712.56,0.75695,0.44088,0.91695,0.98864,0.98943,0.9942,0.82939,0.6414,0.37777,0.88042,0.000396246,0.000396246,0.000396246
79,721.412,0.75973,0.44308,0.9252,0.99808,0.9804,0.99434,0.82859,0.64016,0.37159,0.8837,0.000379743,0.000379743,0.000379743
80,730.419,0.74387,0.44097,0.91614,0.99112,0.99212,0.99434,0.82739,0.64093,0.37209,0.8833,0.000363239,0.000363239,0.000363239
81,739.523,0.7477,0.44063,0.92127,0.98867,0.98717,0.99434,0.82839,0.63708,0.371,0.88597,0.000346736,0.000346736,0.000346736
82,748.4,0.73466,0.43234,0.91304,0.98452,0.99124,0.99398,0.83899,0.60635,0.35908,0.87728,0.000330233,0.000330233,0.000330233
83,757.108,0.72307,0.42914,0.91188,0.98884,0.99324,0.99422,0.83337,0.61223,0.36194,0.87652,0.000313729,0.000313729,0.000313729
84,765.956,0.73159,0.44089,0.91515,0.98945,0.99333,0.99444,0.83772,0.60936,0.36061,0.87766,0.000297226,0.000297226,0.000297226
85,774.712,0.70925,0.42567,0.90529,0.98899,0.99659,0.99448,0.84695,0.59015,0.35113,0.87569,0.000280723,0.000280723,0.000280723
86,785.01,0.71393,0.41884,0.91612,0.99167,0.99108,0.9943,0.84488,0.60569,0.358,0.87644,0.00026422,0.00026422,0.00026422
87,795.38,0.70245,0.41407,0.90495,0.99212,0.99036,0.99439,0.83941,0.59815,0.35364,0.87263,0.000247716,0.000247716,0.000247716
