epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,181.15,0.99102,0.70825,1.00432,0.89301,0.96674,0.97431,0.70686,0.96522,0.68469,1.00961,0.000709809,0.000709809,0.000709809
60,183.43,1.02367,0.71208,1.00069,0.87927,0.97676,0.9707,0.69668,0.998,0.69305,1.01125,0.000693305,0.000693305,0.000693305
61,185.813,0.99429,0.69102,0.98731,0.88699,0.96528,0.96919,0.68709,1.01818,0.69635,1.01047,0.000676802,0.000676802,0.000676802
62,188.168,1.00006,0.68453,0.98798,0.87665,0.94723,0.96743,0.69955,0.98527,0.70147,1.00744,0.000660299,0.000660299,0.000660299
63,190.522,1.01706,0.69056,0.98313,0.87486,0.97429,0.97043,0.69003,1.00716,0.70272,1.01309,0.000643795,0.000643795,0.000643795
64,192.852,0.99936,0.66973,0.97204,0.88119,0.96162,0.97102,0.70019,0.99223,0.6987,1.00732,0.000627292,0.000627292,0.000627292
65,195.122,1.00332,0.68104,1.00401,0.91412,0.94627,0.97748,0.70733,0.96871,0.69348,0.99884,0.000610789,0.000610789,0.000610789
66,197.538,0.98651,0.67513,0.98916,0.92621,0.93812,0.97341,0.71044,0.96396,0.69932,0.99406,0.000594286,0.000594286,0.000594286
67,199.893,0.97349,0.68222,0.98302,0.91064,0.94272,0.97187,0.70083,0.97161,0.71243,0.99539,0.000577782,0.000577782,0.000577782
68,202.235,0.98606,0.67602,1.01114,0.91688,0.94805,0.96928,0.70183,0.98896,0.72281,0.99869,0.000561279,0.000561279,0.000561279
69,204.592,1.0344,0.68054,1.00506,0.92842,0.95004,0.97153,0.70465,0.99189,0.71809,0.99929,0.000544776,0.000544776,0.000544776
70,206.945,0.99687,0.66286,0.99203,0.93503,0.94249,0.97501,0.71338,0.97717,0.68813,0.99331,0.000528272,0.000528272,0.000528272
71,209.246,0.94692,0.62511,0.97631,0.92135,0.93103,0.97225,0.71326,0.9714,0.68327,0.99003,0.000511769,0.000511769,0.000511769
72,211.629,1.00367,0.68545,0.98727,0.92758,0.93812,0.9718,0.71983,0.96327,0.67332,0.98558,0.000495266,0.000495266,0.000495266
73,213.975,1.0047,0.67371,0.99225,0.93192,0.94411,0.96993,0.70949,0.9774,0.67991,0.9874,0.000478762,0.000478762,0.000478762
74,216.283,0.97153,0.64131,0.98392,0.92814,0.9491,0.96942,0.71301,0.96815,0.68057,0.98567,0.000462259,0.000462259,0.000462259
75,218.646,0.94316,0.63597,0.96418,0.92628,0.93429,0.97051,0.71549,0.95647,0.67295,0.98263,0.000445756,0.000445756,0.000445756
76,220.989,0.96099,0.64626,0.97095,0.92304,0.95031,0.97109,0.72355,0.95518,0.6618,0.98253,0.000429253,0.000429253,0.000429253
